code,albedo,emissivity,roughness,roughness_h,capacity_surf,conductivity_surf,thicknes,capacity_volume,conductivity_volume,surface,storage
2,0.23,0.82,0.002,0.002,1840000,1.6,1,1360000,1.6,Betonové panely,
3,0.25,0.63,0.003,0.003,1840000,1.6,1,1360000,1.6,Kachličky(betonové),
4,0.25,0.45,0.003,0.003,1840000,1.6,1,1360000,1.6,Betonové prefabrikáty (zámková dlažba),
5,0.27,0.68,0.006,0.006,1840000,1.6,1,1360000,1.6,Betonové prefabrikáty polopropustné,
6,0.18,0.51,0.01,0.01,2366000,2.5,1,1360000,1.6,Žulové kostky – velké (nad 20 cm. „kočičí hlavy“),
7,0.2,0.48,0.006,0.006,2366000,2.5,1,1360000,1.6,Žulové kostky – střední (10–20 cm),
8,0.21,0.45,0.005,0.005,2366000,2.5,1,1360000,1.6,Žulové kostky – malé (méně než 10 cm). do 25 % bílých kostek,
9,0.2,0.92,0.002,0.002,1320000,0.5,1,1280000,1.5,Tartan,
10,0.26,0.91,0.004,0.004,1320000,1,1,1328000,1.5,Umělé travnaté plochy (vysypané pískem),
11,0.28,0.28,0.02,0.02,1800000,1,1,1328000,1.5,Hlína. prach. staveniště. rozbitý beton,
12,0.25,0.76,0.01,0.01,1369500,1,1,1328000,1.5,Písek,
13,0.22,0.93,0.02,0.02,415000,1,1,1328000,1.5,Travnaté povrchy,
14,0.17,0.28,0.02,0.02,1600000,1,1,1328000,1.5,Prašná cesta. stezka (malé kamínky. max. do velikosti 3 cm),
15,0.5,0.75,0.005,0.005,1328000,1,1,1328000,1.5,Antuka,
16,0.15,0.87,0.05,0.05,400000,1,1,1328000,1.5,Okrasné záhony. květináče (hlína. mulčovací kůra). zimní zahrada,
17,0.3,0.82,0.005,0.005,1383200,1.3,1,1360000,1.6,Bílé dlažební kostky (u směsi od 75 % a více bílých),
18,0.28,0.64,0.005,0.005,1634000,1.4,1,1360000,1.6,Kombinace šedých a bílých kostek (u směsi od 25 do 75 % bílých),
19,0.17,0.65,0.03,0.03,1820000,2,1,1360000,1.6,Železniční nebo tramvajový násep (pražce a kameny),
20,0.3,0.9,0.002,0.002,1196000,1,1,1360000,1.6,Dopravní značení větších ploch na asfaltu (více než 3 m 2),
21,0.4,0.55,0.006,0.006,2366000,2.5,1,1360000,1.6,Dopravní značení větších ploch na žulových kostkách (více než 3 m2),
22,0.15,0.93,0.002,0.002,1196000,1,1,1360000,1.6,Asfalt,
23,0.25,0.8,0.05,0.05,400000,1,1,1328000,1,Nízká vegetace (nálet. vysoká tráva. porost do 50 cm),
24,0.23,0.86,0.2,0.2,400000,1,1,1328000,1,Nízké křoví (cca od 0.5 do 2 m výšky),
25,0.25,0.92,0.01,0.01,400000,1,1,1328000,1,Dřevo (zahrádky. tropické dřevo apod.),
26,0.2,0.59,0.01,0.01,1125000,1.6,1,1328000,1.5,Kamínky,
27,0.4,0.97,0.002,0.002,1760000,1.6,1,1328000,1,Dlaždice (keramické. lesklé),
28,0.55,0.91,0.1,0.1,4187000,0.6,1,6699200,0.6,Fontána. vodní plochy s umělými povrchy,
29,0.55,0.95,0.2,0.2,4187000,0.6,1,6699200,0.6,Vodní toky. vodní plochy (hloubka do 0.5 m),
30,0.55,0.96,0.1,0.1,4187000,0.6,1,6699200,0.6,Vodní toky. vodní plochy (hloubka od 0.5 do 2.0 m),
31,0.55,0.97,0.01,0.01,4187000,0.6,1,6699200,0.6,Vodní toky. vodní plochy (hloubka větší než 2.0 m),
32,0.1,0.93,0.002,0.002,1196000,1,1,1360000,1.6,Asfaltova vozovka,
33,0.15,0.93,0.002,0.002,1196000,1,1,1360000,1.6,Asfaltovy chodnik,
34,0.32,0.55,0.05,0.05,1820000,2,1,1360000,1.6,Bílé žulové kostky s asfaltovými spárami (nový typ zastávek MHD),
35,0.15,0.93,0.6,0.6,415000,1,1,1328000,1.5,Travnaté povrchy zavlažované,
36,0.3,0.93,0.6,0.6,415000,1,1,1328000,1.5,Travnaté povrchy stepní,
37,0.3,0.93,0.6,0.6,415000,1,1,1328000,1.5,Travnaté povrchy ve stínu,
101,0.3,0.93,0.0002,0.0002,1000000,2,0.4,1000000,0.2,plech,insulated bricks
102,0.4,0.93,0.0012,0.0012,1360000,0.5,0.4,1000000,0.2,cihly,insulated bricks
103,0.35,0.93,0.001,0.001,1360000,0.5,0.4,1000000,0.2,hladka cihla,insulated bricks
104,0.4,0.93,0.0003,0.0003,1200000,0.3,0.4,1000000,0.2,hladka dlazba,insulated bricks
105,0.35,0.93,0.0007,0.0007,1200000,0.3,0.4,1000000,0.2,hladka dlazdice,insulated bricks
106,0.4,0.93,0.0009,0.0009,1300000,0.5,0.4,1000000,0.2,omitka,insulated bricks
107,0.4,0.93,0.0009,0.0009,1000000,0.15,0.4,600000,0.1,omitka isolacni,insulated blocks
108,0.4,0.93,0.001,0.001,1080000,0.5,0.4,1000000,0.2,omitka + cihly,insulated bricks
109,0.3,0.95,0.005,0.005,1080000,0.5,0.4,1000000,0.2,omitka + psi vino,insulated bricks
110,0.4,0.93,0.001,0.001,1190000,0.4,0.4,1000000,0.2,omitka + sede obklad,insulated bricks
111,0.4,0.93,0.0007,0.0007,2100000,0.6,0.4,1000000,0.2,omitka+ sklo,insulated bricks
112,0.4,0.93,0.0007,0.0007,1500000,0.15,0.4,1000000,0.1,plast,insulated structure
113,0.5,0.92,0.0007,0.0007,2100000,0.9,0.4,1000000,0.2,sklo,briks
114,0.5,0.92,0.0007,0.0007,2100000,0.9,0.35,1008000,0.5,sklo,isolace
115,0.5,0.92,0.0007,0.0007,2100000,0.6,0.4,600000,0.15,sklo+omitka,palena tvarnice
116,0.4,0.93,0.0008,0.0008,2450000,0.6,0.35,25000,0.035,omitka+ sklo,isolace
117,0.4,0.93,0.0011,0.0011,1000000,0.3,0.4,1000000,0.1,omitka ozdobna,insulated bricks
118,0.5,0.92,0.0007,0.0007,2100000,0.5,0.35,100000,0.1,sklo,ocel-betonova kostrukce
119,0.5,0.92,0.0007,0.0007,1500000,0.2,0.35,25000,0.035,igelitovy/plastikovy povrch,vzduch
120,0.5,0.92,0.001,0.001,1600000,1,0.35,960000,0.15,beton,beton. isolace
121,0.5,0.92,0.01,0.01,2100000,0.9,0.35,100000,0.2,vchody do metra. zastávky,vzduch
122,0.5,0.92,0.01,0.01,2000000,0.2,0.35,100000,0.2,sochy. altány. přístřešky,vzduch
123,0.5,0.92,0.005,0.005,2000000,0.2,0.35,2000000,0.2,dřevo,dřevo
201,0.5,0.93,0.001,0.001,1144000,0.5,0.3,1144000,0.3,sheet metal,softwood
202,0.6,0.7,0.01,0.01,1500000,0.7,0.35,1144000,0.5,concrete/fired tile,concrete/brick/wood
